Category,Item,Size,kcal,Protein (g),Fat (g),Carb (g),Sugar (g),Fiber (g)
Beverages,GutC Better Soda (Mixed Berries),1 can (250ml),15,0,0,3.8,1.3,6
Alcohol,Heineken,1 can (320ml),134,4.2,0,32.6,0,0
Dairy,Oatside Oat Milk,100ml,65,0.6,3.2,8.1,2.8,0
Dairy,Oatside Protein Chocolate,100ml,66,8,1.4,4.8,1.6,1.2
Dairy,So Good Almond Milk,100ml,39,0.8,2.6,2.8,1.6,0.5
Dairy,Homesoy No Sugar Added Soy Milk,100ml,30,2.5,1.6,1.2,0.5,0.5
Dairy,Chobani Greek Yogurt (Light),100g,56,9.3,0.2,4,3.3,0
Dairy,Chobani No Sugar Strawberry,100g,66,8.1,1.7,4.2,2.9,0.2
Dairy,Farmers Union Protein Greek Yogurt,100g,55,8.3,0.2,4.9,4.9,0
Dairy,Arla Lactofree Fresh Cheese,100g,190,7.8,16,3.3,3.3,0
Dairy,Family Brand Low Fat Mozzarella,100g,260,27,16,2.6,0.5,0
Superfoods,Biogrow Oat Bran,1 scoop,26,1.9,0.5,2.7,0.1,3.1
Processed Meat,Ayamas Black Pepper Sausage,1 pc,59,7.1,1.6,3.5,0,0
Jam / Spreads,Symphony Dark Choc Spread,100g,502,5.6,39.1,51,0,7.5
Bread / Bakery,Sunshine Bread (Malaysia),100g,269,10.7,3.2,47.2,12.7,4.3
Jam / Spreads,Jobbie Pure Peanut Butter (Creamy),100g,618,33.6,46.3,5.4,5.1,11.2
Grains / Cereals,Sanitarium Weet-bix Whole Grains Cereal,30g,106,3.6,0.4,20.1,0.8,3
Grains / Cereals,Sanitarium Weet-Bix Bites (Honey Crunch),100g,369,11.4,1.4,72.6,18.8,8
Grains / Cereals,Ceres Organic Rice Cake,3 pcs,69,1.5,0.5,14.7,0.4,0.6
Grains / Cereals,Woolworths Baked Pretzels,25g,98,2.5,1,19,0.9,0.9
Instant Noodles,Mama Noodle (Pork),1 pack (60g),290,6,13,36,3,0
Instant Noodles,Mama Noodle (Tomyum),1 pack (55g),250,6,11,32,3,0
Grains / Cereals,Realfoods Cornthins (Sesame),3 pcs,69,1.9,0.6,12.6,0.1,1.5
Bread / Bakery,Sunshine Shokupan Purple Sweet Potato,1 pc (30g),80.5,3.2,1,14.2,3.8,1.3
Grains / Cereals,Meizhoushike Sea Salt Choc Oatmeal,100g,418,9.2,7.9,76.5,0,0
Grains / Cereals,Radiant Organic Muesli,100g,414,10,10.7,69.4,8.1,13.5
Ready-to-Eat,Betagro Tender Chicken (Garlic Butter),1 pack,100,19.1,1,3.8,1.4,0
Ready-to-Eat,Betagro Tender Chicken (Hot & Spicy),1 pack,97,18.6,1.3,2.7,1.2,1.2
